ESTADO,CIDADE,ZONA,SECAO,LOCAL,ENDERECO,BAIRRO,CEP
RJ,RIO DE JANEIRO,241,42,CIEP RAUL RIFF,ESTRADA DOS VIEIRAS S/N - PACIÊNCIA - RIO DE JANEIRO/RJ,PACIENCIA,23587610
RJ,RIO DE JANEIRO,241,53,CIEP ISMAEL NERY,AVENIDA CESARIO DE MELO S/N CESARAO - SANTA CRUZ - RIO DE JANEIRO/RJ,SANTA CRUZ,23595060
RJ,RIO DE JANEIRO,241,103,ESCOLA MUNICIPAL PROFESSORA SONIA MOTA MOLISANI,ESTRADA SANTA EUGENIA S/N - PACIÊNCIA - RIO DE JANEIRO/RJ,PACIENCIA,23585430
RJ,RIO DE JANEIRO,241,115,ESCOLA MUNICIPAL PROFESSORA MARIA LUIZA LIMA SILVA,RUA FRANCA LEITE S/N - COSMOS - RIO DE JANEIRO/RJ,COSMOS,23059380
RJ,RIO DE JANEIRO,242,24,COLEGIO ROSARIO,"AVENIDA CESARIO DE MELO, 3670",CAMPO GRANDE,23050102
RJ,RIO DE JANEIRO,242,31,ESCOLA MUNICIPAL ALMIRANTE SALDANHA DA GAMA,"AVENIDA CESÁRIO DE MELO, 4180",CAMPO GRANDE,23050102
RJ,RIO DE JANEIRO,242,90,ESCOLA MUNICIPAL ALMIRANTE SALDANHA DA GAMA,"AVENIDA CESÁRIO DE MELO, 4180",CAMPO GRANDE,23050102
RJ,RIO DE JANEIRO,242,163,COLEGIO ESTADUAL MISSIONÁRIO MARIO WAY,AVENIDA CESÁRIO DE MELO S/N,INHOAÍBA,23056000
RJ,RIO DE JANEIRO,244,47,COLÉGIO ESTADUAL PROFESSOR FERNANDO ANTÔNIO RAJA GABAGLIA,RUA GENERAL CORDOLINO AZEVEDO 110,CAMPO GRANDE,23081240
RJ,RIO DE JANEIRO,244,79,CIEP NELSON MANDELA,PRACA DANIEL LAMES S/N - JD. RIO DO A,CAMPO GRANDE,23081050
RJ,RIO DE JANEIRO,245,25,INSTITUTO DE EDUCACAO DE CAMPO GRANDE,AVENIDA MANUEL CALDEIRA DE ALVARENGA 1003,CAMPO GRANDE,23070200
RJ,RIO DE JANEIRO,245,101,ESCOLA MUNICIPAL LUIZ EDMUNDO,RUA FELIX BERNARDELLI S/N - TINGUI,CAMPO GRANDE,23078030
RJ,RIO DE JANEIRO,245,104,ESCOLA MUNICIPAL LUIZ EDMUNDO,RUA FELIX BERNARDELLI S/N - TINGUI,CAMPO GRANDE,23078030
RJ,RIO DE JANEIRO,246,64,ESCOLA MUNICIPAL GANDHI,"RUA MARIA DAS GRAÇAS DA SILVA (ANTIGA RUA 15), SN - CONJ. MANGUARIBA",PACIENCIA,23065150
RJ,RIO DE JANEIRO,246,173,ESCOLA MUNICIPAL BARÃO DE SANTA MARGARIDA,"RUA COREMAS, 358, SANTA MARGARIDA",COSMOS,23060040
RJ,RIO DE JANEIRO,252,21,ESCOLA PENEDO,RUA RAUL POMPEIA 183,COPACABANA,22080001
